ID,ISSUE,PROPLetter,PROPTitle,Month,Day,Year,Date,Description,PASS_FAIL,Vote_Counts_Yes,Vote_Counts_No,Percent_Vote_Yes,Percent_Vote_No,Percent_Required_To_Pass,Kind,HowPlaced,Fullimage,
305,,4,"Spring Valley Water Company Purchase Bond, $40,000,000",June,14,1927,"Jun 14, 2027","To incur a bonded debt of the City and County of San Francisco to the amount of $40,000,000 for the purpose of the acquisition, construction and completion of a public utility, by purchasing the property, necessary water rights, storage reservoirs, and distributing system of the Spring Valley Water Company for supplying water to the City and County of San Francisco and its inhabitants.",F,41463,28611,59.1,40.9,66.67%,Bond Issue,Supervisors,June14_1927,
306,,5,Collection and Disposition of Refuse,June,14,1927,"Jun 14, 2027","Providing for the collection and disposal of refuse in the City and County of San Francisco; providing for the licensing of refuse collectors by the Board of Health; fixing the maximum rates or charges for the collection of refuse by licensed refuse collectors from homes and apartment houses, and dividing the City and County of San Francisco into collection routes; providing penalties for the violation of the provisions of said ordinance.",P,37189,33010,52.9,47.1,50%+1,Ordinance,Initiative,June14_1927,
307,,1,"Boulevard Bonds, $9,380,000",November,8,1927,"Nov 8, 2027","To incur a bonded debt of the City and County of San Francisco to the amount of $9,380,000 for the purpose of the acquisition, construction and completion of, and improvements in, the following routes for public highway purposes: the Bayshore Highway, the Alemany boulevard, the Junipero Serra boulevard, the Nineteenth Avenue boulevard, the Sunset boulevard, the Esplanade boulevard, the Great Highway and Van Ness boulevard.",P,92867,25638,78.3,21.7,66.67%,Bond Issue,Supervisors,November8_1927,
308,,2,"Municipal (MUNI) Railway Extension Bonds, $4,600,000",November,8,1927,"Nov 8, 2027","To incur a bonded debt of $4,600,000 for extending the existing Municipal (MUNI) Street Railway system over and along the public streets and private rights of way.",F,68484,49965,57.8,42.2,66.67%,Bond Issue,Supervisors,November8_1927,
309,,3,"Transmission Line Bonds, $2,000,000",November,8,1927,"Nov 8, 2027","To incur a bonded debt of $2,000,000 for the extension of the Moccasin Creek power line of the Hetch Hetchy water and power project of the City and County of San Francisco from its present terminal near Newark, Alameda County, California, over, under, across or around the Bay of San Francisco, for the purpose of transmitting electric energy generated at Moccasin Creek power plant into the City and County of San Francisco.",F,57607,55940,50.7,49.3,66.67%,Bond Issue,Supervisors,November8_1927,
310,,4,Public Ownership of Transbay Bridge,November,8,1927,"Nov 8, 2027","Any transbay bridge from the City to the County of Alameda shall be financed, constructed, maintained and operated under public ownership and that the Board of Supervisors shall take such steps as may be necessary for such construction and ownership.",P,50264,47736,51.2,48.8,50%+1,Policy Declaration,Supervisors,November8_1927,
311,,5,Construction of Bridge by Private Capital,November,8,1927,"Nov 8, 2027",A proposal for immediate construction by private capital of a publicly owned bridge from San Francisco to Alameda.,F,41470,52031,44.3,55.7,50%+1,Policy Declaration,Supervisors,November8_1927,
312,,6,Transfer of Certain Lands to United States Government,November,8,1927,"Nov 8, 2027","The City and County of San Francisco should transfer, without monetary consideration, to the Government of the United States, a site on the northeast corner of Hyde and Fulton Streets in the Civic Center, to be used by the Government of the United States for the erection of a Federal Building.",P,83697,23465,78.1,21.9,50%+1,Policy Declaration,Supervisors,November8_1927,
313,,7,"Assistant City Engineers, Board of Public Works",November,8,1927,"Nov 8, 2027",Three assistants to the City Engineer shall be employed by the Board of Public Works to examine and analyze all franchises under which privately owned street railways are operated in the City and County of San Francisco.,F,37439,58140,39.1,60.9,50%+1,Ordinance,Mayor,November8_1927,
314,,1,"Hetch Hetchy Completion Bonds, $24,000,000",May,1,1928,"May 1, 2028","To incur a bonded debt of $24,000,000 for the purpose of constructing aqueduct tunnels, pipelines and other structures and appurtenances, including lands necessary for the completion of the Lake Eleanor Tuolumne system, also known as the Hetch Hetchy project, for the conveying of water from the Tuolumne river and its tributaries, to the City and County of San Francisco for domestic and municipal purposes.",P,94859,11381,89.2,10.8,66.67%,Bond Issue,Supervisors,May1_1928,
315,,2,"Spring Valley Water Company Purchase Bonds, $41,000,000",May,1,1928,"May 1, 2028","To incur a bonded debt of $41,000,000 for purchasing all of the property, water rights, rights of way, storage reservoirs, water works, water supply, pumping plants, lands within and without the confines of the City and County of San Francisco that shall be deemed necessary, and distributing system of the Spring Valley Water Company, to be owned and controlled by the City and County of San Francisco.",P,82490,21175,79.5,20.5,66.67%,Bond Issue,Supervisors,May1_1928,
316,,1,Withdrawn after publication (Municipally Owned Public Utilities),August,28,1928,"Aug 28, 2028","The construction, management, supervision, maintenance, extension, operation and control of all public utilities and other properties, used, owned, acquired, leased or constructed by the City and County of San Francisco, for the purpose of supplying to the City and County, its residents and inhabitants, and to territory outside the City and County, as well as its residents and inhabitants, with water, light, heat, power or transportation shall be exclusively vested in a Utility Commission of three members.",Not Available in Public Library's official records,,,,,,Charter Amendment,Supervisors,August28_1928,
317,,22,Establishment of Public Utilities Commission,November,6,1928,"Nov 6, 2028","Creating and defining the powers and duties of a Public Utilities Commission for the management of municipal water, transportation, power and other utilities.",F,51063,79490,39.1,60.9,50%+1,Charter Amendment,Supervisors,November6_1928,
318,,23,Issuance of Revenue Bonds,November,6,1928,"Nov 6, 2028","Providing for the acquisition, construction or extension of public utilities and the issuance of bonds therefor payable both as to principal and interest wholly from revenue.",F,26076,103495,20.1,79.9,50%+1,Charter Amendment,Supervisors,November6_1928,
319,,24,Street Railway Franchises,November,6,1928,"Nov 6, 2028",Proposal permitting surrender of privately owned street car franchises for operating permit that may be cancelled by vote of people.,F,76156,100526,43.1,56.9,50%+1,Charter Amendment,Initiative,November6_1928,
320,,25,Police Pensions,November,6,1928,"Nov 6, 2028","The Board of Police Commissioners shall, out of the Police Relief and Pension fund, provide for the family of any officer or member who dies in the line of duty.   Should the decedent be married, his widow shall be paid a monthly pension equal to one-half of the decedent's salary, as long as she remains unmarried; should the widow die leaving a child or children under the age of sixteen, the pension will be paid to the child or children until the youngest reaches the age of sixteen.  Should the decedent leave no widow and no orphan child or children but leaves a parent or parents depending upon him for support, the pension will be paid to the parent or parents.",F,73059,83368,46.7,53.3,50%+1,Charter Amendment,Supervisors,November6_1928,
321,,26,Firemen's Pensions,November,6,1928,"Nov 6, 2028","Whenever any officer or member of the Fire Department shall die as a result of any injury received during the performance of his duty, or while eligible to a pension, the Commissioners shall provide for the family.  If the decedent be married, his widow shall be paid a monthly pension equal to one-half of the decedent's salary, as long as she remains unmarried; if the widow should die, the pension shall continue to any child or children until the youngest child reaches sixteen.  Should the decedent leave no widow and no orphan child, but leave a parent or parents dependent upon him for support, such parents will receive the pension.",P,73427,72956,50.1,49.9,50%+1,Charter Amendment,Supervisors,November6_1928,
322,,27,"Board of Supervisors, Number, Term of Office, Salary",November,6,1928,"Nov 6, 2028","The Board of Supervisors shall consist of eighteen members, all of whom shall hold office for four years and be elected from the City and County at large.  Each one must be at the time of his election an elector of the City and County and must have been such for at least five years next preceding his election.  Each Supervisor shall receive a monthly salary of $400.",F,24795,117762,17.3,82.7,50%+1,Charter Amendment,Supervisors,November6_1928,
323,,28,Civil Service Extension,November,6,1928,"Nov 6, 2028","The appointing officer shall notify the Commissioners of each position to be filled separately, and shall fill such place by the appointment of one of the persons certified to him by the Commissioners.  Such appointment shall be on probation for a period to be fixed by the rules of the Commissioners.  At or before the expiration of the period of probation, the head of the department or office in which a candidate is employed may, with the Commissioners' consent, discharge him upon assigning in writing his reason to the Commissioners.  To prevent the stoppage of public business, the head of any department may make emergency appointments.",F,70044,73760,48.7,51.3,50%+1,Charter Amendment,Supervisors,November6_1928,
324,,29,Detective Sergeants,November,6,1928,"Nov 6, 2028","The Chief of Police may detail for detective duty members of the Police Department as hey may select, not to exceed one for each eighteen members of the Police Department.  Such members shall rank as detective sergeants and receive an annual salary of $2,760.  They shall be given a hearing before the Board of Police Commissioners before removal from the detail by the Chief of Police.",P,74371,59811,55.2,44.8,50%+1,Charter Amendment,Supervisors,November6_1928,
325,,30,Police Department Organization and Pensions,November,6,1928,"Nov 6, 2028","When any member of the department shall die from causes other than a bodily injury received in the performance of his duty, and neither his widow nor his children nor his parent shall be entitled to a pension, then his widow, and if there be no widow, then his children, or if there be no widow or children, then his parent, if dependent upon him for support, shall be entitled to a sum equal to the amount retained by the Treasurer from the pay of the deceased and paid into the Relief and Pension Fund.",F,50440,81031,38.3,61.7,50%+1,Charter Amendment,Supervisors,November6_1928,
326,,31,Establishing the City Planning Commission,November,6,1928,"Nov 6, 2028","The creation of a City Planning Commission, to consist of five members, who shall be appointed by the Mayor.  Each member of the Commission shall have been an elector of the City and County for at least five years prior to the date of his appointment and shall not hold any other City and County office or position during his term of office as Commissioner.  The terms of members of the Commission shall be five years from and after the date of their respective appointments.",F,65168,61985,51.2,48.8,50%+1,Charter Amendment,Supervisors,November6_1928,
327,,32,War Memorial Board of Trustees,November,6,1928,"Nov 6, 2028","There shall be a Board of Trustees of the San Francisco War Memorial to be erected and maintained in the Francisco War Memorial to be erected and maintained in the Civic Center in the City and County of San Francisco, to be known as the ""Board of Trustees of the War Memorial.""  The Trustees of the War Memorial shall have charge of the construction, administration, management, superintendence and operation of the War Memorial.  The Trustees shall consist of eleven members, to be appointed by the mayor, and each member will hold a term of six years.",P,69742,69025,50.2,49.8,50%+1,Charter Amendment,Supervisors,November6_1928,
328,,33,Tax for Park Purposes,November,6,1928,"Nov 6, 2028","Providing for the levying of taxes and appropriation of money for the maintenance, preservation and improvement of parks, squares and grounds.  The Supervisors shall provide all necessary money for the maintenance and preservation of said parks, squares, avenues and grounds, and levy a tax on all property in the City and County not exempt from taxation, which shall not be less than 10 cents nor more than 15 cents upon each $100 assessed valuation of said property.",F,64969,72156,47.3,52.7,50%+1,Charter Amendment,Supervisors,November6_1928,
329,,34,Library Tax,November,6,1928,"Nov 6, 2028","Providing for the levying of taxes for the maintenance of libraries and to defray the cost of books, lands and buildings.  The Supervisors shall, for the purpose of maintaining libraries (purchasing books, journals, periodicals or acquiring real and personal property, and for constructing such buildings as necessary), annually levy a tax on all property in the City and County not exempt from taxation which shall not be less than three and three-quarters cents upon each one hundred dollars assessed valuation of said property.  The proceeds of said tax shall be credited to the Library Fund.",P,69337,60639,53.3,46.7,50%+1,Charter Amendment,Supervisors,November6_1928,
330,,35,Palace of Fine Arts,November,6,1928,"Nov 6, 2028","Accepting the Palace of Fine Arts from the United States government and ratifying an ordinance granting spur track privileges, extending from Fort Mason Military Reservation over and along certain public streets in the City and County of San Francisco.",P,90980,41474,68.6,31.4,50%+1,Charter Amendment,Supervisors,November6_1928,
331,,36,Federal Building in Civic Center,November,6,1928,"Nov 6, 2028","Authorizing the Board of Supervisors to transfer to the United States a site in the Civic Center for a Federal Building, to be used and occupied by the United States Government.",P,87612,43821,66.6,33.4,50%+1,Charter Amendment,Supervisors,November6_1928,
332,,37,Retirement System Simplification,November,6,1928,"Nov 6, 2028","The Board of Supervisors will establish a retirement system to provide for the death benefits for officers and employees of the City and County of San Francisco.  The Board shall secure from the competent actuary a report of the cost of establishing a general retirement system.  The retirement system shall be conducted on the contributory plan.  A Board of Administration of the retirement system is hereby created, consisting of the Chairman of the Finance Committee of the Board of Supervisors, the Auditor, three members elected from the active members of the retirement system, a resident official of a life insurance company, and an officer of a bank.",P,67422,58480,53.5,46.5,50%+1,Charter Amendment,Supervisors,November6_1928,
333,,38,"Purchaser of Supplies, Revolving Fund",November,6,1928,"Nov 6, 2028",Creating a Revolving Fund for the Purchaser of Supplies for the immediate payment of bills and the saving of discounts.,P,75775,46943,61.7,38.3,50%+1,Charter Amendment,Supervisors,November6_1928,
334,,39,Bonds for Employees,November,6,1928,"Nov 6, 2028","Every board, commission, department or officer may, with the approval of the Finance Committee of the Board of Supervisors, require of their deputies, clerks or employees, bonds of indemnity with sufficient sureties for the faithful performance of their duties; and the premiums or charges for all such bonds shall be paid by the City and County.",F,57360,66872,46.1,53.9,50%+1,Charter Amendment,Supervisors,November6_1928,
335,,40,"Payment Demands, Common School Fund",November,6,1928,"Nov 6, 2028","Providing for the method of drawing and paying demands against the Common School Fund.  All demands payable out of the Common School Fund shall be filed with the Secretary of the Board of Education, and after they have been approved by the board, they shall be signed by the President of the Board and the Superintendent and sent to the Auditor.  Every demand shall have endorsed upon it a certificate, signed by the Secretary, of its approval by the Board of Education, showing the date thereof and the law authorizing it by title, date and section.",P,73909,48629,60.3,39.7,50%+1,Charter Amendment,Supervisors,November6_1928,
336,,41,"Fire Department, Lieutenants",November,6,1928,"Nov 6, 2028","Providing for the abolishment of the rank of Lieutenant, Fire Department, and for promotions to rank of Captain.  Also providing for amendments to composition of Fire Department Companies, and to the salaries of its officers and members.",F,58985,73170,44.6,55.4,50%+1,Charter Amendment,Supervisors,November6_1928,
337,,42,"Police Department, Corporals",November,6,1928,"Nov 6, 2028","Providing for the appointment of Sergeants in the Police Department and abolishing the rank of Corporal.  There shall not be more than one Sergeant for every eight Police Officers, and the duties of the Sergeants shall be defined by the rules and regulations of the Commissioners, by the orders of the Chief of Police and the orders of their respective Captains and Lieutenants.",F,54296,82452,39.7,60.3,50%+1,Charter Amendment,Supervisors,November6_1928,
338,,43,"Fire Department Employees, Pensions",November,6,1928,"Nov 6, 2028","All persons except clerks and commissary employees, appointed to positions in the department must at the time of their appointment be citizens of the United States, not less than twenty-one nor more than thirty-five years of age, must have been residents of the City and County at least five years next preceding the date of their appointment, and must pass a medical examination.  Certain employees, such as pilots, marine engineers of fireboats, and the Superintendent of the Corporation Yard, shall be subject to the provisions and entitled to the benefits of the Firemen's Relief Fund.",F,52022,81156,39,61,50%+1,Charter Amendment,Supervisors,November6_1928,
339,,44,"Special Police Officers, Pensions",November,6,1928,"Nov 6, 2028","All patrol special police officers shall be known as members of San Francisco Police Reserve Unit and be subject to the rules and regulations of the San Francisco Police Department.  Such officers shall be entitled to trial by the Board of Police Commissioners of the City and County of San Francisco for any violations of rules and regulations.  Any officer injured while preventing an act of crime shall receive a monthly sum of $50 from the City and County of San Francisco during the time of such incapacity.  In the event of death, his widow or minor children shall receive a pension of the same amount from the City and County.",F,48127,90077,34.8,65.2,50%+1,Charter Amendment,Supervisors,November6_1928,
340,,45,"Police Boat Engineers, Pensions",November,6,1928,"Nov 6, 2028","There shall be not less than three engineers of police patrol boat, each of whom shall receive an annual salary of not less than $2400.  Engineers shall, for the purpose of receiving a pension, be considered a part of the police force, and shall be subject to the provisions and entitled to the benefits of Chapter X of Article VIII of the Charter.  Any person under appointment to the position of engineer of police patrol boat shall be entitled to the benefits of this amendment.",F,37680,92893,28.8,71.2,50%+1,Charter Amendment,Supervisors,November6_1928,
341,,46,"Probation Department, Appointment of Adult and Juvenile Probation Officers",November,6,1928,"Nov 6, 2028","The Superior Court Judges of the City and County of San Francisco shall appoint the Adult Probation Officer.  The Judge of the Superior Court, who has been or may be, designated the Judge of the Juvenile Court, shall appoint the Probation Officer of the Juvenile Court.  Both Adult and Juvenile Probation Officers shall appoint assistants, deputies and employees as may be allowed or provided by the Board of Supervisors, subject to confirmation by the Adult and Juvenile Probation Boards, respectively.",F,48638,79539,37.9,62.1,50%+1,Charter Amendment,Supervisors,November6_1928,
342,,47,"Police Department, Hostlers, Pensions",November,6,1928,"Nov 6, 2028","There shall be not to exceed eleven hostlers, each of which hostlers shall receive an annual salary of $2160; and said hostlers shall, for the purpose of receiving a pension, be considered a part of the police force and shall be subject to the provisions and entitled to the benefits of Chapter 10 of Article VIII of the Charter.",F,32544,97555,25,75,50%+1,Charter Amendment,Supervisors,November6_1928,
343,,48,Police Matrons,November,6,1928,"Nov 6, 2028","The Board of Police Commissioners may appoint three women protective officers and four police matrons for the care of female prisoners, each of whom shall receive an annual salary equal to the salary of a police officer of the City and County of San Francisco, and to provide rules and regulations for the government and assignment of the same.  Women protective officers and police matrons shall be subject to the provisions and entitled to the benefits of Chapter X of Article VIII of the Charter of the City and County of San Francisco.",F,34837,98042,26.2,73.8,50%+1,Charter Amendment,Supervisors,November6_1928,
344,,49,Salaries of Police Judges,November,6,1928,"Nov 6, 2028","From and after July 1, 1929, the Board of Supervisors shall annually fix the salaries of the Judges of the Police Court; provided, however, that in no one year shall the salary of any of said Judges exceed the sum of $6,000.",F,33962,101479,25,75,50%+1,Charter Amendment,Supervisors,November6_1928,
345,,50,Not Included in Voter Handbook,November,6,1928,"Nov 6, 2028",Not Included in Voter Handbook,Not Available in Public Library's official records,,,,,,NA,NA,November6_1928,
346,,51,Parking Stations Under Parks,November,6,1928,"Nov 6, 2028","The Board of Park Commissioners may construct and operate a public automobile parking station under any public park, provided that the said construction and operation will not be detrimental to the original purpose for which said park was dedicated.  The cost of the construction of any such parking station may be met and defrayed in the same manner as any other public improvement as provided by the Charter of the City and County.",F,52304,82624,38.7,61.3,50%+1,Charter Amendment,Supervisors,November6_1928,
347,,52,Mayor's Contingent Fund,November,6,1928,"Nov 6, 2028","The Supervisors must appropriate annually to the Mayor $15,000 as and for a contingent fund for which he need furnish no vouchers.",F,38786,90471,30,70,50%+1,Charter Amendment,Supervisors,November6_1928,
348,,53,Creating a Woman Police Judge,November,6,1928,"Nov 6, 2028","There is hereby created an additional judge of the Police Court of the City and County of San Francisco, who shall have all the powers and be vested with all the authority provided by Section 1 of Chapter VIII of Article V of the Charter.  She shall be subject to all the provisions of the Charter relative to police judges and police courts, perform duties similar to those now performed by the judges of said court, and receive the same compensation as is now provided by law for police judges.",F,25267,104203,19.5,80.5,50%+1,Charter Amendment,Supervisors,November6_1928,
349,,54,Salary of City Attorney,November,6,1928,"Nov 6, 2028","The annual salary of the City Attorney shall be $12,000 from and after January 1, 1930, and any provision of this Charter in conflict herewith is hereby repealed to the extent of such conflict.",F,38572,89046,30.2,69.8,50%+1,Charter Amendment,Supervisors,November6_1928,
350,,55,"Sewer Bonds, $2,200,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of $2,200,000 for the construction and extension of the Sewer System in the City and County of San Francisco.",P,88448,41782,67.9,32.1,66.67%,Bond Issue,Supervisors,November6_1928,
351,,56,"Health and Hospital Bonds, $3,500,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of $3,500,000 for the purchase of necessary lands, buildings, equipment and furnishings, including additions to the Tuberculosis Preventorium Health Farm, and additional stories to be added to the present ward buildings.",P,104027,38341,73,27,66.67%,Bond Issue,Supervisors,November6_1928,
352,,57,"Playground Bonds, $3,100,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of $3,100,000 for the acquisition and development of necessary lands within the City and County of San Francisco for playground purposes.  The locations of said playground sites are to be selected by the Playground Commission of the City and County of San Francisco.",F,75315,61846,54.9,45.1,66.67%,Bond Issue,Supervisors,November6_1928,
353,,58,"McLaren Park Bonds, $2,000,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of $2,000,000 for the acquisition, development, completion and equipment of land known as McLaren Park, and the purchase of all necessary tracts to comprise approximately 550 acres of land to be used for park purposes.",F,69086,69945,49.6,50.4,66.67%,Bond Issue,Supervisors,November6_1928,
354,,59,"Aquatic Park Bonds, $950,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of the City and County of San Francisco to the amount of $950,000 for the completion and equipment of the Aquatic Park and the purchase of lands for additions to the Aquatic Park and Marina Park in the City and County of San Francisco.",F,79848,58708,57.6,42.4,66.67%,Bond Issue,Supervisors,November6_1928,
355,,60,"Airport Bonds, $1,700,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of $1,700,000 for the acquisition, construction and equipment of a tract of land, situate in San Mateo County, to be used by the City and County of San Francisco as an airport.",F,75993,59354,56.1,43.9,66.67%,Bond Issue,Supervisors,November6_1928,
356,,61,"Civic Center Bonds, $1,000,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of $1,000,000 for the acquisition of land for the extension, development and beautification of the Civic Center of the City and County of San Francisco, and the purchase of all necessary lands and buildings.",F,65387,64092,50.5,49.5,66.67%,Bond Issue,Supervisors,November6_1928,
357,,62,"Broadway Tunnel Bonds, $750,000",November,6,1928,"Nov 6, 2028","To incur a bonded debt of $750,000 to construct the Broadway Tunnel, which will be used as a pedestrian and vehicular mode of travel, beginning at Larkin Street and Broadway, and ending at Mason Street and Broadway.",F,69533,63887,52.1,47.9,66.67%,Bond Issue,Supervisors,November6_1928,
358,,1,Collection and Disposal of Garbage - Incineration,November,5,1929,"Nov 5, 2029",Shall garbage be disposed of by incineration?,P,42570,33291,56.1,43.9,50%+1,Policy Declaration,Supervisors,November5_1929,
359,,2,"Collection and Disposal of Garbage - Municipal System, Collection",November,5,1929,"Nov 5, 2029",Shall the City establish a municipally owned and operated system for the collection of garbage?,F,13102,58002,18.4,81.6,50%+1,Policy Declaration,Supervisors,November5_1929,
360,,3,"Collection and Disposal of Garbage - Municipal System, Disposal",November,5,1929,"Nov 5, 2029",Shall the City establish a municipally owned and operated system for the disposal of garbage?,F,13266,55756,19.2,80.8,50%+1,Policy Declaration,Supervisors,November5_1929,
361,,4,Collection and Disposal of Garbage - Private Corporation,November,5,1929,"Nov 5, 2029","Shall the City and County of San Francisco enter into an agreement with a private individual or corporation, whereby said individual or corporation will agree to build an incinerator to incinerate the garbage and refuse collected in the City, and to operate the same for the incineration of such garbage and refuse under such conditions as may be provided by the City and County, with the understanding that the City and County shall be entitled to acquire said incinerator from the person or corporation building the same upon such conditions as may be agreed upon when the agreement to build the incinerator is entered into?",F,22163,46622,32.2,67.8,50%+1,Policy Declaration,Supervisors,November5_1929,
362,,5,Establishing a Municipal Court,November,5,1929,"Nov 5, 2029",Shall a Municipal Court be established for the City and County of San Francisco?,P,45915,23281,66.3,33.7,50%+1,Ordinance,Supervisors,November5_1929,
363,,6,China Beach Playground,November,5,1929,"Nov 5, 2029","Shall the City acquire by purchase for playground purposes a tract of land of approximately 505 feet frontage, extending in a northwesterly direction from Sea Cliff avenue to the Pacific Ocean, said tract to include the beach or ocean front, commonly known as 'China Beach' or 'China Cove,' the purchase price of said property not to exceed $250,000?",F,34114,38061,47.2,52.8,50%+1,Policy Declaration,Supervisors,November5_1929,
364,,7,Marina Park Extension,November,5,1929,"Nov 5, 2029","Shall the City acquire a tract of land, bounded by Lewis street, Webster street, Marina boulevard and Laguna street, said tract to be acquired and used for the extension of the Marina Park, the purchase price of said tract not to exceed $400,000?",F,29464,39401,42.7,57.3,50%+1,Policy Declaration,Supervisors,November5_1929,
365,,8,Disposal of Refuse by Fill and Cover Method,November,5,1929,"Nov 5, 2029",Providing for the Collection and Disposition of Refuse in the City and County of San Francisco; Providing for the Licensing of Refuse Collectors by the Board of Health; Fixing the Maximum Rates or Charges for the Collection of Refuse by Licensed Refuse Collectors from Homes and Apartment Houses; Dividing the City and County of San Francisco Into Collection Routes; Providing Penalties for the Violation of the Provisions of the Ordinance.,F,25065,49467,33.6,66.4,50%+1,Ordinance,Initiative,November5_1929,
366,,1,"Pacific Gas and Electric Company Acquisition Bonds, $44,600,000",August,26,1930,"Aug 26, 2030","To incur a bonded debt of $44,600,000 for the acquisition of a portion of the properties of Pacific Gas and Electric Company.",F,25383,63638,28.5,71.5,66.67%,Bond Issue,Supervisors,August26_1930,
367,,2,"Great Western Power Company Acquisition Bonds, $18,945,000",August,26,1930,"Aug 26, 2030","To incur a bonded debt of $18,945,000 to acquire a portion of the properties of the Great Western Power Company.",F,25256,63387,28.4,71.6,66.67%,Bond Issue,Supervisors,August26_1930,
368,,3,"Transmission lines from Newark, California Bonds, $3,525,000",August,26,1930,"Aug 26, 2030","To incur a bonded debt of $3,525,000 to construct transmission lines from Newark, Alameda County to the City and County of San Francisco.",F,25788,61972,29.3,70.7,66.67%,Bond Issue,Supervisors,August26_1930,
369,,4,"Power House at Red Mountain Bar, Tuolumne County Bonds, $1,045,000",August,26,1930,"Aug 26, 2030","To incur a bonded debt of $1,045,000 to construct Power House at Red Mountain Bar, Tuolumne County.",F,26001,61422,29.7,70.3,66.67%,Bond Issue,Supervisors,August26_1930,
370,,27,Members of the Board of Education to be Elected,November,4,1930,"Nov 4, 2030",Providing that the members of the Board of Education shall be elected commencing at the general election to be held in 1931.  They shall be citizens of the United States and hold office for a term of four years.,F,68292,70778,49.1,50.9,50%+1,Charter Amendment,Supervisors,November4_1930,
371,,28,Civil Service Extension,November,4,1930,"Nov 4, 2030","Providing for the extension of Civil Service provisions to employees of the City and County, and those employed one year are appointed thereunder.",F,54875,78906,41,59,50%+1,Charter Amendment,Supervisors,November4_1930,
372,,29,"Employees of Public Utilities, Civil Service",November,4,1930,"Nov 4, 2030",Persons employed in the operating service of any public utility who have been so employed in their respective positions for not less than one year shall be considered appointed to such positions and shall be entitled to all the benefits of such positions.,P,72573,48954,59.7,40.3,50%+1,Charter Amendment,Supervisors,November4_1930,
373,,30,Salary of Public Administrator,November,4,1930,"Nov 4, 2030","To provide that the annual salary of the Public Administrator and his Attorney be set at $8,000.00.",P,66923,55573,54.6,45.6,50%+1,Charter Amendment,Supervisors,November4_1930,
374,,31,Detective Sergeants,November,4,1930,"Nov 4, 2030",To provide that Detective Sergeants detailed under the Merit System shall be entitled to a hearing before the Board of Police Commissioners before removal from the detail.,P,80418,40562,66.4,33.6,50%+1,Charter Amendment,Supervisors,November4_1930,
375,,32,Not Included in Voter Handbook,November,4,1930,"Nov 4, 2030",Not Included in Voter Handbook,NA,,,,,,NA,NA,November4_1930,
376,,33,Establishing the Public Utilities Commission,November,4,1930,"Nov 4, 2030",To provide for the establishment of a Public Utilities Commission and to fix the salary of its members and to prescribe the duties of said Commission.,F,35987,74147,32.6,67.4,50%+1,Charter Amendment,Supervisors,November4_1930,
377,,34,Parking Stations under Public Parks,November,4,1930,"Nov 4, 2030",To authorize the Board of Park Commissioners to lease the subsurface area of public parks for automobile parking stations.,P,72052,51840,58.1,41.9,50%+1,Charter Amendment,Supervisors,November4_1930,
378,,35,Street Railway Twenty-five (25) Year Operating Permit,November,4,1930,"Nov 4, 2030",To grant privately operated railways a twenty-five (25) year operating permit which may be cancelled at the will of the citizens on payment of value of operating properties.,P,81777,66138,55.2,44.8,50%+1,Charter Amendment,Initiative,November4_1930,
379,,36,Municipal Railway Car Fare,November,4,1930,"Nov 4, 2030","To fix the maximum car-fare on the Municipal Railway at five cents per passenger per single ride and providing that if deficits occur, they may be met by taxes.",F,58044,72357,44.5,55.5,50%+1,Ordinance,Referendum,November4_1930,
380,,37,Not Included in Voter Handbook,November,4,1930,"Nov 4, 2030",Not Included in Voter Handbook,P,109919,34966,75.8,24.2,66.67%,Bond Issue,NA,November4_1930,
381,,38,"County Jail Bonds, $850,000",November,4,1930,"Nov 4, 2030","To incur a bonded indebtedness of $850,000 for the purchase of a site and the erection thereon of a County Jail.",P,104754,31339,76.9,23.1,66.67%,Bond Issue,Supervisors,November4_1930,
382,,39,"Garbage Incinerator Bonds, $1,200,000",November,4,1930,"Nov 4, 2030","To incur a bonded indebtedness of $1,200,000 for the acquisition, construction and equipment of a garbage incinerator for the City.",F,83885,49601,62.8,37.2,66.67%,Bond Issue,Supervisors,November4_1930,
383,,40,"Airport Bonds, $4,000,000",November,4,1930,"Nov 4, 2030","To incur a bonded indebtedness of $4,000,000 for the extension and improvement of the Municipal Airport at Mills Field.",F,80270,55591,59,41,66.67%,Bond Issue,Supervisors,November4_1930,
384,,1,Proposed New Charter,March,26,1931,"Mar 26, 2031","Shall the proposed Charter for the City and County of San Francisco as submitted by the Board of Freeholders and filed with the Board of Supervisors January 19, 1931 be adopted?",P,59084,45741,56.3,43.7,50%+1,Charter Amendment,Supervisors,March26_1931,
385,,2,Consolidation of San Mateo County,March,26,1931,"Mar 26, 2031",To amend the Charter by adding a new article providing for the government of territory in San Mateo County in the event of its consolidation with the City and County of San Francisco.,P,80156,21679,78.7,21.3,50%+1,Charter Amendment,Supervisors,March26_1931_prop2,
