Ballot Measure Committee,Stance,Election,Ballot Measure,Consulting Firm,Services,Payment Received
,,,,Storefront Political Media,"Campaign consulting; media production distribution, placement.","$23,698.00"
,,,,Lisa Seitz aka Gruwell and Associates,Fundraising ,"$13,863.00"
"No on K - Citizens to Protect Muni Services, Major Funding by Clear Channel Outdoor and Outdoor Advertisers",No,11/06/07,K,"Malchow Schlackman & Hoppey, Inc.",Direct mail campaign,"$132,828.00"
,,,,MSHC Partners Inc,Direct mail campaign,"$2,500.00"
,,,,"Malchow Schlackman & Hoppey, Inc.",Direct mail campaign,$0.00
,,,,"Malchow Schlackman & Hoppey, Inc.",Direct mail campaign,$0.00
"Yes on A, Fix Our Parks. A Project of The Conservation Campaign",Yes,02/05/08,A,Patrick Hannan,campaign management,"$31,875.00"
,,,,Staton & Hughes,"Mail design, stratregy, printing, and mailing","$211,915.00"
Yes on Measure B for Safer San Francisco Streets- San Francisco Police Officers Associations,Yes,02/05/08,B,,,
"Yes on C, Alcatraz Conversion Project",Yes,02/05/08,C,,,
"Committee for Quality Teachers and Education, Yes on Proposition A",Yes,06/03/08,A,Whitehurst Campaigns,Campaign management consulting,"$73,706.00"
,,,,Whitehurst Campaigns,Campaign management consulting,"$73,706.00"
"Citizens United for Reform - Yes on B; A coalition of healthcare advocates, taxpayers, labor, realtors and neighborhood business",Yes,06/03/08,B,Stearns Consulting ,Campaign strategy and media,"$127,134.00"
,,,,Stearns Consulting ,Campaign strategy and media,"$127,134.00"
,,,,Whitehurst Campaigns,Campaign management consulting,"$52,757.00"
,,,,WHitehurst Campaigns,Campaign management consulting,$0.00
,,,,Whitehurst Campaigns,Campaign management consulting,"$52,757.00"
N/A,,,C,,,
N/A,,,D,,,
Ratepayers and Residents for PUC Reform- Yes on E,Yes,06/03/08,E,,,
"COALITION FOR RENEWABLE ENERGY AND AFFORDABLE WATER RATES, NO ON E. MEMBERS INCLUDE NEIGHBORHOOD GROUPS, BUSINESSES, LABOR AND PACIFIC GAS AND ELECTRIC COMPANY",No,06/03/08,E,Laurie Beijen,Organization outreach,"$8,000.00"
,,,,Storefront Political Media,"Campaign consulting; media production distribution, placement.","$74,228.00"
,,,,IMprenta Communications Group,"Campaign strategy, design, and production","$5,000.00"
,,,,Imprenta Communications Group,"Campaign strategy, design, and production","$5,000.00"
,,,,Jim Ross Political Consulting,Campaign consulting services,$0.00
,,,,Laurie Beijen,Organization outreach,"$8,000.00"
,,,,Storefront Political Media,"Campaign consulting; media production distribution, placement.","$74,228.00"
,,,,Jim Ross Political Consulting,Campaign consulting services,$0.00
"Bayview Committee for Affordable Housing, A Committee Formed to Support Measure F",Yes,06/03/08,F,,,
"REAL SOLUTIONS FOR HOUSING, NO ON PROP. F, A COALITION OF LABOR AND BUSINESS, INCLUDING THE NORTHERN CALIFORNIA CARPENTERS UNION AND LENNAR HOMES OF CALIFORNIA",No,06/03/08,F,,,
,,,,Storefront Political Media,"Campaign consulting; media production distribution, placement.","$129,015.00"
,,,,LAura Talmus,Fundraising services,"$15,000.00"
,,,`,Storefront Political Media,"Campaign consulting; media production distribution, placement.","$129,015.00"
,,,,Carmen Policy,Campaign strategy and public outreach,"$30,000.00"
,,,,Sitrick and Company,media consulting,$0.00
,,,,"Singer Associates, Inc",Media relations and strategic advice,"$63,269.00"
,,,,Stearns Consulting ,Campaign strategy and media,"$266,360.00"
,,,,Roberta Achtenberg,Political consulting and advice,"$12,000.00"
,,,,Glenn Bunting,Public relations consulting services,$0.00
,,,,Johnnie L Carter Jr.,"Strategy and public outreach, campaign spokesperson","$18,750.00"
,,,,Denise LaPointe,Campaign strategy and public outreach,"$6,000.00"
,,,,Ground Floor Public Affairs,Campaign and field program maagement,"$45,000.00"
,,,,Roberta Achtenberg,Political consulting and advice,"$12,476.00"
,,,,"Singer Associates, Inc","Media relation, strategic advice ","$63,269.00"
,,,,Sitrick and Company,media consulting,$0.00
,,,,Johnnie L Carter Jr.,"Campaign spokesperson, strategy and public outreach","$12,500.00"
,,,,Denise LaPointe,Campaign strategy and public outreach,"$6,000.00"
,,,,Laura Talmus,Fundraising services,"$15,000.00"
,,,,Stearns Consulting ,Campaign strategy and media,"$266,360.00"
,,,,Roberta Achtenberg,Political consulting and advice,"$12,476.00"
,,,,"MAlchow Schlackman & Hoppey, Inc.",Campaign strategy and public outreah,"$10,000.00"
,,,,Ground Floor Public Affairs,Campaign and field program maagement,"$45,000.00"
,,,,Carmen Policy,Campaign strategy and public outreach,"$30,000.00"
,,,,Glenn Bunting,Public relations consulting services,$0.00
,,,,Johnnie L Carter Jr.,"Strategy and public outreach, campaign spokesperson","$18,750.00"
,,,,Stearns Consulting ,political strategy and media,"$58,030.00"
,,,,"Singer Associates, Inc","Media relation, strategic advice ","$66,380.00"
,,,,Storefront Political Media,Campaign consulting ,"$100,000.00"
,,,,Terris Barnes & Walters,General consulting for ballot initiative ,"$188,229.00"
,,,,Ground Floor Public Affairs,campaign management,"$50,000.00"
,,,,Denise LaPointe,"Assisted with accounting and compliance, campaign strategy","$4,000.00"
N/A,,06/03/08,G,,,
N/A,,06/03/08,H,,,
"COMMITTEE TO REBUILD GENERAL HOSPITAL, YES ON PROP. A, A COALITION OF DOCTORS, NURSES, HEALTHCARE PROFESSIONALS, SEIU LOCAL 1021 AND THE SAN FRANCISCO GENERAL HOSPITAL FOUNDATION",Yes,11/04/08,A,Whitehurst Campaigns,Campaign management consulting,"$99,336.00"
"NO ON PROPOSITION A, A COMMITTEE OF PROPERTY OWNERS AND RENTERS WHO OPPOSE THE LARGEST BOND IN SAN FRANCISCO HISTORY AND SUPPORT A LESS EXPENSIVE PLAN",No,11/04/08,A,Stearns Consulting ,Direct mail campaign,"$162,271.00"
,,,,MSHC Partners Inc,Direct mail campaign,$0.00
,,,,"Malchow Schlackman & Hoppey, Inc.",Direct mail campaign,$0.00
,,,,"Malchow Schlackman & Hoppey, Inc.",Direct mail campaign,$0.00
San Francisco Housing Fund -- Yes on B,Yes,11/04/08,B,Left Coast Communications,"Design, production, printing of campaign literature; photography","$23,550.00"
,,,,Left Coast Communications,"Design, production, printing of campaign literature; photography","$23,550.00"
"THEY ARE AT IT AGAIN COMMITTEE, NO ON B",No,11/04/08,B,MSHC Partners Inc,Direct mail campaign,"$113,433.00"
,,,,cHristopher Corocran,Fundraising management,"$14,550.00"
N/A,,11/04/08,C,,,
"Committee to Restore Our Waterfront, Yes on D",Yes,11/04/08,D,Nichelle Lyons,Fundraising ,"$17,790.00"
,,,,Whitehurst Campaigns,Campaign management consulting,"$15,476.00"
N/A,,11/04/08,E,,,
N/A,,11/04/08,F,,,
Yes on Proposition G San Francisco,Yes,11/04/08,G,,,
San Francisco Clean Energy: A Committee in Support of Proposition H,Yes,11/04/08,H,Julian Davis,General Consulting ,"$5,250.00"
,,,,Left Coast Communications,Photography; design production and printing of campaign literature,"$17,631.00"
,,,,Stearns COnsulting ,Campaign strategy and media,"$2,800.00"
,,,,Left Coast Communications,"Design, production, printing of campaign literature; photography","$17,631.00"
"COMMITTEE TO STOP THE BLANK CHECK, NO ON H, A COALITION OF CONCERNED CONSUMERS, SMALL BUSINESSES, LABOR, COMMUNITY ORGANIZATIONS AND PACIFIC GAS AND ELECTRIC COMPANY",No,11/04/08,H,Stephanie Bjornson,Campaign consulting,"$24,466.00"
,,,,Thom Lynch,Campaign consulting,"$24,000.00"
,,,,Storefront Political Media,"Campaign consulting; media production distribution, placement.","$1,045,213.00"
,,,,Danny Wong,Campaign consultant,"$16,500.00"
,,,,Giuseppe,Campaign manager,"$73,222.00"
,,,,Solem & Associates ,Campaign consulting,"$10,042.00"
,,,,Claudia Ross,Campaign consulting,"$15,000.00"
,,,,Jim Ross Political Consulting,Political strategy and consulting,"$30,000.00"
,,,,"Moscone Public Affairs, Inc",Campaign consulting,"$15,000.00"
,,,,Imprenta Communications Group,Campaign consulting,"$984,910.00"
,,,,Christopher Lee,Campaign consulting ,"$32,857.00"
,,,,DAniel Dunnigham ,Campaign consulting,"$16,000.00"
N/A,,11/04/08,I,,,
San Franciscans for Smart Planning: Yes on J,Yes,11/04/08,J,Stearns Consulting ,Campaign strategy and media,"$28,661.00"
"Yes on K, Committee United for Safety and Protection",Yes,11/04/08,K,,,
"No on K, Committee Against Trafficking and Sexual Exploitation, Committee Against Proposition K",No,11/04/08,K,,,
Yes on Prop K. ORG,Yes,11/04/08,K,,,
Community Justice Court Coalition: Breaking the Cycle. Yes on L.,Yes,11/04/08,L,HSieh & Associates,Campaign management; media purchases,"$30,789.00"
,,,,Storefront Political Media,"Campaign consulting; media production distribution, placement.","$7,999.00"
"Tenants Against Harrassment, A Committee To Stop Tenant Harassment and For Proposition M",Yes,11/04/08,M,,,
"Close the Loopholes - Yes on N, Yes on Q",Yes,11/04/08,N,Left Coast Communications,"Design, production, printing of campaign literature","$5,411.00"
,,,,Left Coast Communications,"Design, production, printing of campaign literature","$5,411.00"
,,,,Stearns Consulting ,Campaign strategy,"$11,530.00"
"SAVE 911, NO NEW TAXES, YES ON O",Yes,11/04/08,O,Hsieh & Associates,Direct mail development ,"$6,430.00"
,,,,Stearns Consulting ,Campaign strategy and media,"$25,537.00"
"FOLLOW THE MONEY, YES ON P",Yes,11/04/08,P,MSHC Partners Inc,Direct mail campaign,$0.00
Committee to Keep MUNI Accountable - No on P,No,11/04/08,P,Stearns Consulting ,Campaign strategy and media,"$33,575.00"
,,,,Stearns COnsulting ,Campaign strategy and media,"$7,214.00"
,,,,Stearns COnsulting ,Campaign strategy and media,"$7,214.00"
"Close the Loopholes - Yes on N, Yes on Q",Yes,11/04/08,Q,,,
Presidential Memorial Commission of San Francisco (Yes on Proposition R),Yes,11/04/08,R,,,
N/A,,11/04/08,S,,,
N/A,,11/04/08,T,,,
The Committee to End the War in Iraq: A Committee in Support of Proposition U,Yes,11/04/08,U,,,
Choice For Students,Yes,11/04/08,V,Christopher Bowman,Precinct map of results of Yes on Prop V,$165.00
No Military Recruitment in Our Schools-No on V,No,11/04/08,V,,,
San Franciscans for Budget Reform:Yes on A,Yes,11/03/09,A,Stearns COnsulting ,Campaign strategy and media,"$32,032.00"
ONE CALIFORNIA FOR ALL - LELAND YEE BALLOT MEASURE COMMITTEE,Yes,11/03/09,C,,,
ONE CALIFORNIA FOR ALL - YEE FOR C,Yes,11/03/09,C,Stearns COnsulting ,Campaign strategy and media,"$54,894.00"
,,,,Stearns COnsulting ,Campaign consulting and media,"$1,589.00"
"San Franciscans Against Commercialization - No on C, No on D, Yes on E",No,11/03/09,C,Left Coast Communications,"Campaign strategy, fundraising, voter communications materials","$36,075.00"
Protect Our Rec Centers/ Yes on C,Yes,11/03/09,C,Stearns COnsulting ,Campaign strategy and media,"$18,926.00"
"Mid-Market ARTS Alliance, Yes on D. Major Funding by Warfield Theater, Supported by Market Street Revival, a coalition of artists, neighbors, tenants, and small business owners.",Yes,11/03/09,D,Stearns COnsulting ,Campaign strategy and media,"$39,230.00"
,,,,Stearns COnsulting ,Campaign strategy and media,"$39,230.00"
,,,,Dee Dee Workman,Campaign strategy,"$18,255.00"
,,,,Dee Dee Workman,Campaign strategy ,"$16,850.00"
,,,,Stearns COnsulting ,Campaign strategy and media,"$263,912.00"
,,,,Dee Dee Workman,Campaign strategy,"$16,850.00"
"San Franciscans Against Commercialization - No on C, No on D, Yes on E",No,11/03/09,D,,,
"San Franciscans Against Commercialization - No on C, No on D, Yes on E",Yes,11/03/09,E,,,
Yes on Prop A - Committee for Safe Schools,Yes,06/08/10,A,,,
"SAN FRANCISCO EARTHQUAKE AND DISASTER RESPONSE PLAN, Yes on B",Yes,06/08/10,B,John Hanley,Campaign management and field coordinator ,"$7,500.00"
,,,,Stearns COnsulting ,Campaign media and consulting ,"$77,587.00"
,,,,Hsieh & Associates,Campaign management and strategy,"$7,175.00"
,,,,Stearns COnsulting ,Campaign media and consulting ,"$129,041.00"
,,,,Hsieh & Associates,"Consulting for ballot measure, including strategy, management, media, and fundraising","$82,412.00"
N/A,,06/08/10,C,,,
N/A,,06/08/10,D,,,
N/A,,06/08/10,E,,,
"Tenants For Fair Rents, A Committee To Support Proposition F",Yes,06/08/10,F,,,
Tenants For Fair Rents,Yes,06/08/10,F,,,
"COMMITTEE TO PRESERVE RENTAL HOUSING, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION REALTORS",No,06/08/10,F,,,
N/A,,06/08/10,G,,,
Yes on Measure A 2010,Yes,11/02/10,A,,,
N/A,,11/02/10,AA,,,
"YES ON PROPOSITION B, supported by Public Defender Jeff Adachi, author Harriet Heyman, business investors Michael Moritz & Warren Hellman, Basic American Goods executives...(Complete Name See Form 410)",Yes,11/02/10,B,Savage Strategies,Campaign consulting services,"$10,000.00"
,,,,Savage Strategies,Campaign consulting services,"$20,000.00"
,,,,"CHADS Media, LLC",Purchasing of media advertisement space/airtime,"$2,454.00"
"STANDING UP FOR WORKING FAMILIES, A COALITION OF TEACHERS, NURSES, FIREFIGHTERS, PUBLIC EMPLOYEES AND HEALTH CARE ADVOCATES",No,11/02/10,B,Burson-Marsteller,Media relations and new media,$0.00
,,,,Burson-Marsteller,Media relations and new media,"$54,605.00"
"The Municipal Attorneys Association, Yes on C, No on D",No,11/02/10,B,,,
PENSION REFORM CHARTER AMENDMENT SUPPORTED BY PUBLIC DEFENDER JEFF ADACHI AND SAN FRANCISCANS FOR SMART REFORM,Yes,11/02/10,B,,,
"The Municipal Attorneys Association, No on B",No,11/02/10,B,,,
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",No,11/02/10,B,Left Coast Communications,"Consulting, design and printing services, website design, photography","$6,500.00"
"Standing up to Save San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations",No,11/02/10,B,,,
"Stand up for San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations",No,11/02/10,B,Stearns COnsulting ,Campaign media and consulting ,"$201,882.00"
"STANDING UP FOR WORKING FAMILIES, NO ON B, A COALITION OF LABOR ORGANIZATIONS",No,11/02/10,B,Stearns COnsulting ,Campaign media and consulting ,"$3,628.00"
,,,,Stearns COnsulting ,Campaign media and consulting ,"$7,500.00"
Standing Up For Working Families,No,11/02/10,B,Stearns COnsulting ,Campaign media and consulting ,"$1,040,716.00"
N/A,,11/02/10,C,,,
Yes on Prop D,Yes,11/02/10,D,Hope Road Consulting LLC,Campaign consulting services,$0.00
,,,,Hope Road Consulting LLC,Campaign consulting services,"$14,859.00"
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",Yes,11/02/10,D,,,
"San Francisco Rising Committee to support SF measures D, E, I, J, N and oppossing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in San Francisco",Yes,11/02/10,E,,,
N/A,,11/02/10,F,,,
"SAN FRANCISCANS FOR A BETTER MUNI, YES ON G, WITH SUPPORT FROM SF FORWARD, PLAN C SAN FRANCISCO, SFAR, COMMITTEE ON JOBS GOVERNMENT REFORM FUND COMMITTEE, SF COALITIONFOR RESPONSIBLE GROWTH AND SPUR",Yes,11/02/10,G,The California Group,campaign management ,$0.00
,,,,Erwin & Muir,"Campaign consulting services, including mail and TV production; strategic advice","$7,273.00"
,,,,The California Group,Fundraising services,"$20,000.00"
,,,,The California Group,campaign management,"$12,184.00"
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",No,11/02/10,G,,,
"San Franciscans For A Better Muni, A Coalition Of Muni Riders, Concerned Citizens, And Supervisor Sean R. Elsbernd",Yes,11/02/10,G,,,
Yes on Measure H 2010,Yes,11/02/10,H,,,
Why Tuesday San Francisco - Yes on I 2010,Yes,11/02/10,I,,,
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",Yes,11/02/10,I,,,
Why Tuesday San Francisco,Yes,11/02/10,I,,,
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",Yes,11/02/10,J,,,
"Standing up to Save San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations",Yes,11/02/10,J,,,
"ECONOMIC RECOVERY SAN FRANCISCO, NO ON J & N, SPONSORED BY BUSINESS ASSOCIATIONS",No,11/02/10,J,Jim Ross Political Consulting,Political consulting; advertising production,"$340,690.00"
"Protect San Francisco Jobs, No on Propositions J & K, sponsored by and major funding by Expedia, a travel company",No,11/02/10,J,,,
"Stand up for San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations",Yes,11/02/10,J,,,
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",No,11/02/10,K,,,
"Standing up to Save San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations",Yes,11/02/10,K,,,
"Protect San Francisco Jobs, No on Propositions J & K, sponsored by and major funding by Expedia, a travel company",No,11/02/10,K,,,
"Protect San Francisco Jobs, No on Propositions J & K",No,11/02/10,K,,,
Coalition for Civil Sidewalks - Yes on L - No on M 2010,Yes,11/02/10,L,Hsieh & Associates,"Consulting for ballot measure, including strategy, management, media, and fundraising",$0.00
,,,,HSieh & Associates,"Consulting for ballot measure, including strategy, management, media, and fundraising","$6,982.00"
,,,,Hsieh & Associates,"Consulting for ballot measure, including strategy, management, media, and fundraising","$37,965.00"
Coalition for Civil Sidewalks - Yes on L 2010,Yes,11/02/10,L,,,
Coalition For Civil Sidewalks,Yes,11/02/10,L,Ground Floor Public Affairs,campaign management,"$10,000.00"
,,,,Ground Floor Public Affairs,campaign management,"$15,000.00"
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",No,11/02/10,L,,,
Sidewalks Are For People - A Committee Opposed to Proposition L,No,11/02/10,L,,,
Sidewalks Are For People,No,11/02/10,L,,,
Coalition for Civil Sidewalks - Yes on L - No on M 2010,No,11/02/10,M,,,
Coalition for Civil Sidewalks - Yes on L 2010,No,11/02/10,M,,,
Coalition For Civil Sidewalks,No,11/02/10,M,,,
"San Francisco Rising Committee to support SF measures D, E, I, J, N, and opposing SF measures B, G, K and L, a coalition of community organizing groups working for low-income people of color in SF",Yes,11/02/10,N,,,
"Standing up to Save San Francisco - No on Measures B and K / Yes on Measures J and N, a coalition of Teachers, Nurses, Public School Parents and Labor Organizations",Yes,11/02/10,N,,,
"COALITION TO STIMULATE THE ECONOMY, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",No,11/02/10,N,,,
"COALITION TO STIMULATE THE ECONOMY, NO ON N, MAJOR FUNDING BY SAN FRANCISCO ASSOCIATION OF REALTORS",No,11/02/10,N,,,
"ECONOMIC RECOVERY SAN FRANCISCO, NO ON J & N, SPONSORED BY BUSINESS ASSOCIATIONS",No,11/02/10,N,,,
ONE CALIFORNIA FOR ALL - LELAND YEE BALLOT MEASURE COMMITTEE,Yes,11/08/11,A,,,
ONE CALIFORNIA FOR ALL - YEE FOR A,Yes,11/08/11,A,Stearns COnsulting ,Campaign media and consulting ,"$47,591.00"
"Rebuilding San Francisco Schools, Yes on Proposition A",Yes,11/08/11,A,Whitehurst Campaigns,Strategic consulting; message development; media consulting; production of all campaign media and materials,"$10,000.00"
,,,,Whitehurst Campaigns,General campaign management consulting,"$44,024.00"
,,,,Nichelle Lyons,Fundraising ,"$49,368.00"
Fix Our Streets - Yes on B,Yes,11/08/11,B,Erwin & Muir,Campaign strategy; direct mail,"$24,000.00"
"STANDING UP FOR WORKING FAMILIES, A COALITION OF TEACHERS, NURSES, FIREFIGHTERS, PUBLIC EMPLOYEES AND HEALTH CARE ADVOCATES",Yes,11/08/11,C,,,
"San Francisco Fire Fighters Local 798, Yes on C, No on D",Yes,11/08/11,C,,,
"San Franciscans United for Pension and Health Reform, Yes on C, No on D, a coalition of public employees, taxpayers and business groups",Yes,11/08/11,C,The Baughman Group,Campaign management and strategy,"$10,000.00"
,,,,Hsieh & Associates,Asian American strategy & political strategy,"$11,790.00"
,,,,The Baughman Group,Campaign management and strategy,"$149,688.00"
"The Municipal Attorneys Association, Yes on C, No on D",Yes,11/08/11,C,,,
Protect Our Benefits,No,11/08/11,C,David Spero,Paid signature gathering,"$33,915.00"
,,,,David Spero,Paid signature gathering,"$17,610.00"
Protect Our Benefits - No on Prop C,No,11/08/11,C,,,
,,,,Jim Alford,"Training, campaign planning, message development, creative work","$6,000.00"
"Yes on Proposition D, supported by Public Defender Jeff Adachi, Basic American Foods executive George Hume & business investor Michael Moritz",Yes,11/08/11,D,,,
"SAN FRANCISCANS FOR PENSION REFORM Supported by Public Defender Jeff Adachi, George Hume & Michael Moritz",Yes,11/08/11,D,Richard Schlackman,General consulting and campaign strategy,"$35,192.00"
,,,,RMS Associates,General consulting and campaign strategy,"$7,000.00"
,,,,Michael Byrd,Fundraising ,$0.00
"STANDING UP FOR WORKING FAMILIES, A COALITION OF TEACHERS, NURSES, FIREFIGHTERS, PUBLIC EMPLOYEES AND HEALTH CARE ADVOCATES",No,11/08/11,D,,,
"San Francisco Fire Fighters Local 798, Yes on C, No on D",No,11/08/11,D,,,
"The Municipal Attorneys Association, Yes on C, No on D",No,11/08/11,D,,,
"San Franciscans United for Pension and Health Reform, Yes on C, No on D, a coalition of public employees, taxpayers and business groups",No,11/08/11,D,,,
"The Municipal Attorneys Association, No on B",No,11/08/11,D,,,
"San Francisco Fire Fighters Local 798, No On B",No,11/08/11,D,,,
"STANDING UP FOR WORKING FAMILIES, NO ON B, A COALITION OF LABOR ORGANIZATIONS",No,11/08/11,D,,,
"Yes on E, San Franciscans for Ballot Measure Reform, Supported by Supervisor Scott Wiener",Yes,11/08/11,E,,,
"Friends of Ethics, Committee Opposed to Measures E & F",No,11/08/11,E,,,
"Friends of Ethics, Committee Opposed to Measures E & F",No,11/08/11,F,,,
SEIU United Healthcare Workers West Political Issues Committee,Yes,11/08/11,G,,,
"Yes on Proposition G 2011, a Committee in Support of Public Safety, Children, and Seniors, Supported by SEIU United Healthcare Workers West Political Issues Committee",Yes,11/08/11,G,The California Group,Political consulting services,"$14,198.00"
"Health Care Workers Union, SEIU Local 250 Political Issues Committee",Yes,11/08/11,G,,,
"COMMITTEE FOR A FAIR AND BETTER SAN FRANCISCO, NO ON G",No,11/08/11,G,RMS Associates,General campaign strategy and media,"$79,181.00"
"Support Quality Neighbohood Schools for All - Yes on H, Supported by Entrepreneur Joanna Rees and Education Reform Advocates",Yes,11/08/11,H,Fletche Rowley,Consultation,"$18,435.00"
Students First,Yes,11/08/11,H,,,
Students First- Yes on H,Yes,11/08/11,H,,,
"H No! Let Parents Decide, sponsored by and with major funding from: United Educators of San Francisco",No,11/08/11,H,"Terris, Barnes & Walters","General campaign consulting, design and production of mail","$116,137.00"
Committee Opposing Forced Male Circumcision,Yes,11/08/11,Removed Per Court Order 7/28/11,,,
Lloyd Schofield,Yes,11/08/11,Removed Per Court Order 7/28/11,,,
"Committee for Parental Choice and Religious Freedom, sponsored by the Jewish Community Relations Council",No,11/08/11,Removed Per Court Order 7/28/11,Whitehurst Campaigns,General campaign management consulting,"$10,000.00"
Committee For Parental Choice And Religious Freedom,No,11/08/11,Removed Per Court Order 7/28/11,,,
"SAN FRANCISCANS FOR COMPETITIVE BIDDING supported by: San Francisco Bay Railroad, Quentin Kopp, Tony Kelly, environmentalists, small businesses and San Francisco ratepayers",Yes,06/05/12,A,,,
"Keep San Francisco Green; No on Prop A, A Coalition of Recology, Labor, Business and Environmentalists, Major Funding by Recology.",No,06/05/12,A,Jordan Curley,Development and execution of strategic outreach to oppose Proposition A,"$20,000.00"
,,,,Brian Leubitz,Outreach Director- coordinating web presence and outreach strategy ,"$9,500.00"
,,,,"Singer Associates, Inc",Public relations and corporate communication,"$26,343.00"
,,,,Brian Leubitz,"Outreach Director; management of internet presence and advertisement; reimbursement for campaign expenses- $5,013.74","$33,514.00"
,,,,Kaufman Campaigns,Strategic campaign planning and implementation; production and creative design of campaign materials and placement of materials.,"$123,932.00"
,,,,"Singer Associates, Inc",Public relations and corporate communication,"$24,130.00"
,,,,Brian Leubitz,Outreach Director; management of internet presence and advertisement; reimbursement for campaign expenses,"$8,791.00"
,,,,Jordan Curley,Development and execution of strategic outreach to oppose Proposition A,$0.00
,,,,Jordan Curley,Development and execution of strategic outreach to oppose Proposition A,"$10,000.00"
,,,,Jordan Curley,"Campaign management for No on Prop A- including field activities, media, staff management and strategic advice","$30,000.00"
,,,,Kaufman Campaigns,Campaign consulting services for the committee opposing Measure A on June 2012 ballot,$0.00
"Keep San Francisco Green; No on the Waste Contract Bureaucracy Measure. A Coalition of Recology, Labor, Business, Environmentalists, Taxpayers, Community and Consumers.",No,06/05/12,A,,,
Protect Coit Tower Committee - Yes on B,Yes,06/05/12,B,,,
Protect Coit Tower Committee,Yes,06/05/12,B,,,
"Committee to Save Our City College, Yes on A, supported by thousands of San Franciscans who support education",Yes,11/06/12,A,,,
"Committee to Protect City College, supported by thousands of San Franciscans who support education, Service Employee International Union, Local 1021, and American Federation of Teachers, Local 2121",Yes,11/06/12,A,"Trujillo Caston Solutions, INC",Consulting services,"$18,000.00"
,,,,Whitehurst MOsher Campaign Strategy and Media,"Strategic consulting including overseeing research and polling, message development; media consulting and production of all campaign media and materials","$40,117.00"
,,,,Whitehurst Mosher Campaign Strategy and Media,"Strategic consulting including overseeing research and polling, message development; media consulting and production of all campaign media and materials","$10,000.00"
"YES ON B, SAN FRANCISCANS FOR CLEAN AND SAFE NEIGHBORHOOD PARKS, WITH MAJOR SUPPORT FROM SAN FRANCISCO PARKS ALLIANCE, RON CONWAY AND THE TRUST FOR PUBLIC LAND",Yes,11/06/12,B,Jim Ross Political Consulting,production of television commercial; media buying ,"$42,400.00"
,,,,Erwin & Muir,"Campaign strategy and management, production of printed materials; media","$71,002.00"
,,,,Erwin & Muir,"Strategic advice, design/production of printed materials ","$16,000.00"
"Committee Against Park Mismanagement, A Committee Opposed to Proposition B",No,11/06/12,B,,,
"Committee Against Park Mismanagement, A Committee Opposed to Proposition__",No,11/06/12,B,,,
"Coalition for Sustainable Housing, A Committee in Support of Proposition C",Yes,11/06/12,C,Left Coast Communications,"General consulting services, volunteer coordination, campaign management, press work, data management","$47,733.00"
N/A,,11/06/12,D,,,
"SAN FRANCISCANS FOR FAIR TAXES AND BETTER CITY SERVICES, YES ON E, A BROAD COALITION OF SMALL BUSINESSES, LABOR UNIONS, AND TECHNOLOGY COMPANIES",Yes,11/06/12,E,,,
"SAN FRANCISCANS FOR FAIR TAXES AND BETTER CITY SERVICES, YES ON E",Yes,11/06/12,E,SCN Strategies ,Campaign management and strategy,$0.00
,,,,Whitehurst mosher Campaign Strategy and Media,"Strategic consulting including overseeing research and polling, message development; media consulting and production of all campaign media and materials",$0.00
,,,,SCN Strategies ,"Consulting, strategy & reimbursement for mail campaign","$74,117.00"
,,,,Ground Floor Public Affairs,campaign management,"$45,000.00"
,,,,50+1 Strategies,Field management services,"$32,162.00"
,,,,Whitehurst Mosher Campaign Strategy and Media,"Strategic consulting including overseeing research and polling, message development; media consulting and production of all campaign media and materials",$0.00
"Yosemite Restoration Campaign - Yes on F, sponsored by Restore Hetch Hetchy",Yes,11/06/12,F,Jon Golinger,Day to day management of campaign activities,"$2,873.00"
